id,host_id,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,review_scores_rating,instant_bookable,reviews_per_month
43777238,23693320,2014/11/13,within an hour,100%,100%,t,t,t,Saint-Roch,46.81487,-71.21905,Entire apartment,Entire home/apt,2,1 bath,1,$283.00,1,1125,344,5,4.8,f,0.44
43777393,23693320,2014/11/13,within an hour,100%,100%,t,t,t,Saint-Roch,46.81535,-71.21936,Entire apartment,Entire home/apt,2,1 bath,1,$283.00,1,1125,326,7,4.86,f,0.74
43787349,23693320,2014/11/13,within an hour,100%,100%,t,t,t,Saint-Roch,46.81637,-71.21902,Entire apartment,Entire home/apt,4,1 bath,2,$303.00,1,1125,341,17,4.71,f,1.38
43787645,23693320,2014/11/13,within an hour,100%,100%,t,t,t,Saint-Roch,46.81476,-71.2207,Entire apartment,Entire home/apt,4,1 bath,2,$283.00,1,1125,309,5,4,f,0.4
43788161,23693320,2014/11/13,within an hour,100%,100%,t,t,t,Saint-Roch,46.81641,-71.21865,Entire apartment,Entire home/apt,6,1 bath,4,$313.00,1,1125,335,19,4.89,f,1.61
43788306,23693320,2014/11/13,within an hour,100%,100%,t,t,t,Saint-Roch,46.81686,-71.21908,Entire apartment,Entire home/apt,4,1 bath,2,$293.00,1,1125,359,1,5,f,0.09
43788566,23693320,2014/11/13,within an hour,100%,100%,t,t,t,Saint-Roch,46.81498,-71.21937,Entire apartment,Entire home/apt,4,1 bath,2,$313.00,1,1125,365,11,4.64,f,0.9
43789197,23693320,2014/11/13,within an hour,100%,100%,t,t,t,Saint-Roch,46.81506,-71.21917,Entire apartment,Entire home/apt,4,1 bath,2,$293.00,1,1125,341,15,4.47,f,2.87
43789878,23693320,2014/11/13,within an hour,100%,100%,t,t,t,Saint-Roch,46.81647,-71.22052,Entire apartment,Entire home/apt,6,1 bath,4,$343.00,1,1125,346,0,,f,
43790085,23693320,2014/11/13,within an hour,100%,100%,t,t,t,Saint-Roch,46.81518,-71.22075,Entire apartment,Entire home/apt,4,1 bath,2,$303.00,1,1125,359,4,5,f,0.35
43799616,23693320,2014/11/13,within an hour,100%,100%,t,t,t,Saint-Roch,46.81667,-71.21938,Entire apartment,Entire home/apt,4,1 bath,2,$323.00,1,1125,357,0,,f,
43799905,112769272,2017/1/22,within an hour,100%,99%,t,t,t,Vanier,46.81275,-71.26166,Entire loft,Entire home/apt,3,1 bath,1,$63.00,7,1125,305,10,4.7,f,0.86
43799907,23693320,2014/11/13,within an hour,100%,100%,t,t,t,Saint-Roch,46.81697,-71.21943,Entire apartment,Entire home/apt,4,1 bath,2,$336.00,1,1125,361,5,5,f,0.42
43800107,23693320,2014/11/13,within an hour,100%,100%,t,t,t,Saint-Roch,46.8156,-71.22085,Entire apartment,Entire home/apt,6,1 bath,4,$343.00,1,1125,340,1,5,f,0.08
43800310,23693320,2014/11/13,within an hour,100%,100%,t,t,t,Saint-Roch,46.81539,-71.22073,Entire apartment,Entire home/apt,4,1 bath,2,$333.00,1,1125,359,3,5,f,0.35
43800581,23693320,2014/11/13,within an hour,100%,100%,t,t,t,Saint-Roch,46.81616,-71.21873,Entire apartment,Entire home/apt,4,1 bath,2,$353.00,1,1125,362,3,5,f,0.66
43800791,23693320,2014/11/13,within an hour,100%,100%,t,t,t,Saint-Roch,46.8151,-71.2208,Entire apartment,Entire home/apt,4,1 bath,2,$333.00,1,1125,365,1,1,f,0.08
43801341,23693320,2014/11/13,within an hour,100%,100%,t,t,t,Saint-Roch,46.81651,-71.22085,Entire apartment,Entire home/apt,6,1 bath,4,$363.00,1,1125,331,2,4.5,f,0.17
