"","id","host_id","host_since","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_has_profile_pic","host_identity_verified","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bathrooms_text","beds","price","minimum_nights","maximum_nights","availability_365","number_of_reviews","review_scores_rating","instant_bookable","reviews_per_month","year"
"1217","36445622","178929372",2018-03-17,"within an hour",100,100,"f","t","f","Lairet",46.83499,-71.25467,"Entire house","Entire home/apt",5,"1 bath",3,60,1,30,1,88,4.68,"t",3.65,3
"1218","36450707","273910993",2019-07-06,"within an hour",100,98,"f","t","t","Saint-Sauveur",46.80594,-71.23615,"Entire apartment","Entire home/apt",6,"1 bath",2,117,1,1125,145,151,4.75,"f",6.22,2
"1219","36454477","191096612",2018-05-22,"N/A",NA,100,"f","t","t","Saint-Roch",46.81581,-71.22957,"Entire apartment","Entire home/apt",4,"1 bath",2,108,2,60,0,17,4.88,"t",0.92,3
"1220","36479379","274282008",2019-07-07,"within an hour",94,100,"f","t","t","Vieux-Québec/Cap-Blanc/Colline parlementaire",46.81105,-71.20513,"Entire apartment","Entire home/apt",4,"1 bath",1,75,1,1125,306,30,4.5,"t",1.24,2
"1221","36519730","180822803",2018-03-27,"a few days or more",10,50,"f","t","t","Cité Universitaire",46.77295,-71.30334,"Entire condominium","Entire home/apt",4,"1 bath",2,40,31,365,220,15,4.33,"t",0.62,3
"1222","36555087","175338588",2018-02-25,"N/A",NA,NA,"f","t","f","Saint-Louis",46.7554,-71.29774,"Entire house","Entire home/apt",6,"1 bath",3,121,28,1125,338,10,4.89,"t",0.54,3
"1223","36555615","193766296",2018-06-05,"within an hour",100,99,"t","t","t","Saint-Roch",46.81517,-71.22138,"Entire apartment","Entire home/apt",4,"1 bath",2,99,1,1125,46,86,4.79,"t",3.54,3
"1224","36559633","128675645",2017-05-03,"within an hour",100,100,"t","t","t","Saint-Roch",46.81347,-71.22871,"Entire apartment","Entire home/apt",6,"1 bath",3,195,1,30,339,79,4.9,"t",3.33,4
"1225","36560238","128675645",2017-05-03,"within an hour",100,100,"t","t","t","Saint-Roch",46.8132,-71.22881,"Entire apartment","Entire home/apt",4,"1 bath",2,105,1,30,343,58,4.79,"t",2.5,4
"1226","36560475","128675645",2017-05-03,"within an hour",100,100,"t","t","t","Saint-Roch",46.81229,-71.22826,"Entire apartment","Entire home/apt",4,"1 bath",2,115,1,30,329,89,4.87,"t",3.99,4
"1227","36560762","128675645",2017-05-03,"within an hour",100,100,"t","t","t","Saint-Roch",46.81331,-71.22977,"Entire apartment","Entire home/apt",4,"1 bath",2,115,1,30,328,86,4.9,"t",3.62,4
