id,host_id,host_response_time,host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,review_scores_rating,instant_bookable,reviews_per_month,year,host_acceptance_rate,host_response_rate,price_boxcox,weights
45954430,372544430,within an hour,t,t,t,Saint-Roch,46.81468,-71.21952,Entire loft,Entire home/apt,4,1 bath,2,181,1,1125,149,6,4.67,f,1.25,1,94,100,5.1984970313,1
45955090,372544430,within an hour,t,t,t,Saint-Roch,46.81602,-71.2196,Entire loft,Entire home/apt,5,1 bath,3,181,1,1125,152,8,4.88,f,8,1,94,100,5.1984970313,1
46027159,28754730,within an hour,f,t,t,Vieux-Limoilou,46.82104,-71.22424,Entire condominium,Entire home/apt,3,1 bath,2,69,28,1125,264,4,5,t,2.93,6,100,99,4.2341065046,1
46054730,373295167,within an hour,f,t,t,Cité Universitaire,46.78633,-71.28271,Entire condominium,Entire home/apt,2,1 bath,1,43,15,500,211,5,4.6,t,0.7,1,92,100,3.7612001157,1
46080978,19909639,within an hour,f,t,t,Maizerets,46.84099,-71.22825,Entire apartment,Entire home/apt,4,1 bath,2,89,15,1125,304,14,4.71,t,1.83,7,100,100,4.4886363697,1
46167749,241075111,within an hour,f,t,t,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81232,-71.21132,Entire apartment,Entire home/apt,2,1 bath,1,89,1,1125,345,2,4,t,0.26,2,100,93,4.4886363697,1
46190752,363705499,within an hour,t,t,t,L'Aéroport,46.7819,-71.36723,Room in hotel,Private room,2,1 private bath,2,89,1,1125,92,5,4.8,t,0.94,1,100,90,4.4886363697,1
46375161,51346108,within an hour,f,t,f,Saint-Jean-Baptiste,46.81003,-71.221,Entire apartment,Entire home/apt,6,1 bath,3,180,2,1125,89,8,4.25,f,1.67,6,99,67,5.1929568509,1
46397725,216772356,within an hour,t,t,t,Vieux-Moulin,46.84649,-71.20782,Entire condominium,Entire home/apt,2,1 bath,1,90,2,7,0,10,4.9,t,1.35,3,100,100,4.4998096703,1
46398605,371711595,within an hour,t,t,t,Saint-Roch,46.81324,-71.22613,Entire apartment,Entire home/apt,4,1 bath,2,137,1,1125,328,16,4.88,t,2.25,1,100,100,4.9199809258,1
